,ID,RA,Dec,simbad_name,Morphology,Morphology_Detailed
447,A05_226T05_9000003148, 6:42:15.533, 75:37:32.628,,No identification within 1 arcsec,
448,A05_226T06_9000002792, 10:16:24.516, 37:54:45.972,LEDA   29998,EmG,Emission-line galaxy
449,A05_226T06_9000002800, 10:16:24.516, 37:54:45.972,LEDA   29998,EmG,Emission-line galaxy
450,A05_226T06_9000002864, 10:16:24.516, 37:54:45.972,LEDA   29998,EmG,Emission-line galaxy
451,A05_226T09_9000002884, 11:57:28.032, -19:37:26.616,ESO 572-25,Galaxy,Galaxy
452,A05_227T01_9000002966, 23:17:25.57, +60:50:43.3,EM* MWC 1080,Ae*,Herbig Ae/Be star
453,A05_227T03_9000002862, 13:03:21.49, -62:13:26.2,IRAS 13002-6157,Candidate_Ae*,Possible Herbig Ae/Be Star
454,A05_227T03_9000003086, 13:03:21.49, -62:13:26.2,IRAS 13002-6157,Candidate_Ae*,Possible Herbig Ae/Be Star
455,A05_227T06_9000002730, 03:39:00.56, +29:41:45.6,V* V1185 Tau,Irregular_V*,Variable Star of irregular type
456,A05_227T07_9000002666, 04:58:46.26, +29:50:36.9,HD  31648,Ae*,Herbig Ae/Be star
457,A05_229T02_9000002890, 17:31:58.001, -33:50:7.008,,No identification within 1 arcsec,
458,A05_229T02_9000003060, 17:31:58.001, -33:50:7.008,,No identification within 1 arcsec,
459,A06_003T01_9000002786, 12:28:11.102, 44:5:37.068,[GHG2001]  1,GlCl,Globular Cluster
460,A06_003T02_9000002926, 12:25:48.862, 33:32:48.948,[BKD2008] WR 469,PartofG,Part of a Galaxy
461,A06_003T04_9000002682, 2:27:16.879, 33:34:45.012,,No identification within 1 arcsec,
462,A06_003T04_9000003046, 2:27:16.879, 33:34:45.012,,No identification within 1 arcsec,
463,A06_003T07_9000002818, 11:21:2.875, 53:10:10.452,NGC  3631,IG,Interacting Galaxies
464,A06_005T01_9000002788, 10:17:36.820, -46:24:44.899,NGC  3201,GlCl,Globular Cluster
465,A06_005T02_9000002996, 15:46:3.000, -37:47:11.101,NGC  5986,GlCl,Globular Cluster
466,A06_005T02_9000003048, 15:46:3.000, -37:47:11.101,NGC  5986,GlCl,Globular Cluster
467,A06_005T05_9000003136, 18:59:33.150, -36:37:53.100,,No identification within 1 arcsec,
468,A06_005T09_9000003168, 21:40:22.120, -23:10:47.500,M  30,GlCl,Globular Cluster
469,A06_006T01_9000002684, 03:32:29.69, -27:44:07.31,,No identification within 1 arcsec,
470,A06_006T01_9000002720, 03:32:29.69, -27:44:07.31,,No identification within 1 arcsec,
471,A06_006T01_9000002724, 03:32:29.69, -27:44:07.31,,No identification within 1 arcsec,
472,A07_001T01_9000003538, 05:08:45.17, -71:11:11.2,,No identification within 1 arcsec,
473,A07_001T06_9000003530, 04:55:41, -71:24:48,,No identification within 1 arcsec,
474,A07_005T01_9000003224, 08:00:01.0, -10:46:12,,No identification within 1 arcsec,
475,A07_007T02_9000003244, 0:45:27.20, 41:52:58.89,,No identification within 1 arcsec,
476,A07_007T03_9000003280, 0:46:52.70, 42:12:12.40,,No identification within 1 arcsec,
477,A07_007T03_9000003320, 0:46:52.70, 42:12:12.40,,No identification within 1 arcsec,
478,A07_007T04_9000003272, 0:42:50.57, 41:15:00.82,,No identification within 1 arcsec,
479,A07_007T04_9000003276, 0:42:50.57, 41:15:00.82,,No identification within 1 arcsec,
480,A07_007T04_9000003310, 0:42:50.57, 41:15:00.82,,No identification within 1 arcsec,
481,A07_007T05_9000003274, 0:44:08.88, 41:33:26.45,,No identification within 1 arcsec,
482,A07_010T04_9000003220, 4:8:53.750, -55:59:22.416,IC 2038,GinPair,Galaxy in Pair of Galaxies
483,A07_010T05_9000003236, 4:9:51.840, -56:7:6.384,NGC  1533,GinGroup,Galaxy in Group of Galaxies
484,A07_010T06_9000003238, 4:10:59.861, -56:28:49.584,NGC  1536,IG,Interacting Galaxies
485,A07_010T11_9000003240, 04:14:36.54, -56:03:38.9,NGC  1546,GinGroup,Galaxy in Group of Galaxies
486,A07_010T12_9000003582, 04:27:38.11, -55:01:40.1,NGC  1596,GinPair,Galaxy in Pair of Galaxies
487,A07_011T01_9000003482, 14:29:04.00, +52:52:12.00,,No identification within 1 arcsec,
488,A07_018T02_9000003288, 20:48:29.32, +29:43:23.8,,No identification within 1 arcsec,
489,A07_018T02_9000003292, 20:48:29.32, +29:43:23.8,,No identification within 1 arcsec,
490,A07_018T02_9000003684, 20:48:29.32, +29:43:23.8,,No identification within 1 arcsec,
491,A07_018T07_9000003294, 20:52:31.64, +29:40:54.2,,No identification within 1 arcsec,
492,A07_018T07_9000003680, 20:52:31.64, +29:40:54.2,,No identification within 1 arcsec,
493,A07_018T08_9000003296, 20:50:19.98, +29:41:51.3,,No identification within 1 arcsec,
494,A07_018T08_9000003622, 20:50:19.98, +29:41:51.3,,No identification within 1 arcsec,
495,A07_018T09_9000003682, 20:46:49.07, +31:28:40.2,,No identification within 1 arcsec,
496,A07_024T04_9000003484, 12:43:42.63, +16:23:36.2,NGC  4651,LINER,LINER-type Active Galaxy Nucleus
497,A07_027T01_9000003690, 1:47:42.84, -52:45:42.84,NGC   685,Galaxy,Galaxy
498,A07_027T02_9000003258, 23:34:27.48, -36:6:3.96,IC 5332,GinGroup,Galaxy in Group of Galaxies
499,A07_027T02_9000003640, 23:34:27.48, -36:6:3.96,IC 5332,GinGroup,Galaxy in Group of Galaxies
500,A07_027T03_9000003528, 3:31:31.39, -51:54:17.64,IC 1954,GinGroup,Galaxy in Group of Galaxies
501,A07_027T05_9000003506, 3:19:41.04, -19:24:40.32,NGC  1300,GinPair,Galaxy in Pair of Galaxies
502,A07_027T06_9000003508, 3:37:28.32, -24:30:4.68,NGC  1385,EmG,Emission-line galaxy
503,A07_027T08_9000003514, 4:17:35.76, -62:47:1.32,NGC  1559,GinGroup,Galaxy in Group of Galaxies
504,A07_027T09_9000003512, 5:5:14.45, -37:58:50.88,NGC  1792,EmG,Emission-line galaxy
505,A07_027T10_9000003592, 9:10:20.11, +7:2:16.44,NGC  2775,Galaxy,Galaxy
506,A07_027T11_9000003668, 12:36:49.82, +13:9:46.44,M  90,Seyfert_2,Seyfert 2 Galaxy
507,A07_027T12_9000003664, 12:43:56.64, +13:7:35.04,NGC  4654,GinPair,Galaxy in Pair of Galaxies
508,A07_027T14_9000003510, 12:56:43.70, +21:40:57.72,M  64,Seyfert,Seyfert Galaxy
509,A07_027T15_9000003562, 13:37:32.06, +8:53:6.36,[MBH2001] NGC 5248 CS  86,EmObj,Emission Object
510,A07_027T16_9000003222, 23:9:47.28, -43:25:40.44,NGC  7496,AGN,Active Galaxy Nucleus
511,A07_027T16_9000003642, 23:9:47.28, -43:25:40.44,NGC  7496,AGN,Active Galaxy Nucleus
512,A07_027T16_9000003666, 23:9:47.28, -43:25:40.44,NGC  7496,AGN,Active Galaxy Nucleus
513,A07_039T01_9000003216, 2:13:8.73, -74:10:12.62,,No identification within 1 arcsec,
514,A07_039T02_9000003212, 02:07:10.31, -74:07:03.0,,No identification within 1 arcsec,
515,A07_039T03_9000003214, 02:01:14.17, -74:09:51.6,,No identification within 1 arcsec,
516,A07_041T01_9000003234, 20:09:25.39, -48:49:53.7,QSO B2005-489,BLLac,BL Lac - type object
517,A07_045T01_9000003628, 12:27:45.5938, +13:00:31.775,,No identification within 1 arcsec,
518,A07_046T01_9000003498, 13:16:27.09, +17:42:00.9,NGC  5053,GlCl,Globular Cluster
519,A07_047T01_9000003572, 00:58:12.8, -70:45:47.8,,No identification within 1 arcsec,
520,A07_047T02_9000003574, 00:59:47.6, -71:07:14.0,,No identification within 1 arcsec,
521,A07_047T06_9000003576, 01:11:28.9, -70:40:04.4,,No identification within 1 arcsec,
522,A07_047T08_9000003262, 01:15:11.1, -71:21:55.8,,No identification within 1 arcsec,
523,A07_047T08_9000003302, 01:15:11.1, -71:21:55.8,,No identification within 1 arcsec,
524,A07_047T08_9000003384, 01:15:11.1, -71:21:55.8,,No identification within 1 arcsec,
525,A07_047T08_9000003590, 01:15:11.1, -71:21:55.8,,No identification within 1 arcsec,
526,A07_047T09_9000003260, 01:17:01.3, -71:44:01.1,,No identification within 1 arcsec,
527,A07_047T09_9000003300, 01:17:01.3, -71:44:01.1,,No identification within 1 arcsec,
528,A07_047T09_9000003386, 01:17:01.3, -71:44:01.1,,No identification within 1 arcsec,
529,A07_047T09_9000003396, 01:17:01.3, -71:44:01.1,,No identification within 1 arcsec,
530,A07_049T01_9000003298, 22:07:52.3933, +31:21:33.646,NGC  7217,LINER,LINER-type Active Galaxy Nucleus
531,A07_049T01_9000003344, 22:07:52.3933, +31:21:33.646,NGC  7217,LINER,LINER-type Active Galaxy Nucleus
532,A07_049T01_9000003358, 22:07:52.3933, +31:21:33.646,NGC  7217,LINER,LINER-type Active Galaxy Nucleus
533,A07_049T01_9000003380, 22:07:52.3933, +31:21:33.646,NGC  7217,LINER,LINER-type Active Galaxy Nucleus
534,A07_049T01_9000003408, 22:07:52.3933, +31:21:33.646,NGC  7217,LINER,LINER-type Active Galaxy Nucleus
535,A07_054T01_9000003286, 08:19:28.980, +70:42:19.296,[SST2011] J081929.00+704219.3,ULX,Ultra-luminous X-ray source
536,A07_054T01_9000003348, 08:19:28.980, +70:42:19.296,[SST2011] J081929.00+704219.3,ULX,Ultra-luminous X-ray source
537,A07_054T01_9000003370, 08:19:28.980, +70:42:19.296,[SST2011] J081929.00+704219.3,ULX,Ultra-luminous X-ray source
538,A07_054T01_9000003378, 08:19:28.980, +70:42:19.296,[SST2011] J081929.00+704219.3,ULX,Ultra-luminous X-ray source
539,A07_054T01_9000003406, 08:19:28.980, +70:42:19.296,[SST2011] J081929.00+704219.3,ULX,Ultra-luminous X-ray source
540,A07_054T01_9000003486, 08:19:28.980, +70:42:19.296,[SST2011] J081929.00+704219.3,ULX,Ultra-luminous X-ray source
541,A07_054T01_9000003504, 08:19:28.980, +70:42:19.296,[SST2011] J081929.00+704219.3,ULX,Ultra-luminous X-ray source
542,A07_059T01_9000003218, 01:42:19.69, +51:34:31.7,M  76,PN,Planetary Nebula
543,A07_059T05_9000003252, 21:33:08.307, +39:38:09.52,PN Hu  1-2,PN,Planetary Nebula
544,A07_059T07_9000003704, 20:20:08.76, +16:43:53.99,IC 4997,PN,Planetary Nebula
545,A07_062T01_9000003392, 01:57:41, +37:47:06,,No identification within 1 arcsec,
546,A07_065T01_9000003284, 09:50:22.4, +31:29:16.0,,No identification within 1 arcsec,
547,A07_065T01_9000003338, 09:50:22.4, +31:29:16.0,,No identification within 1 arcsec,
548,A07_065T01_9000003554, 09:50:22.4, +31:29:16.0,,No identification within 1 arcsec,
549,A07_067T01_9000003578, 15:59:09.62, +35:01:47.56,Mrk  493,Seyfert_1,Seyfert 1 Galaxy
550,A07_069T01_9000003570, 08:51:18.00, 11:48:0.00,,No identification within 1 arcsec,
551,A07_091T03_9000003678, 21:42:55.98, -30:07:57.91,6dFGS gJ214256.0-300758,Galaxy,Galaxy
552,A07_091T04_9000003394, 13:08:19.12, +43:45:25.6,SDSS J130819.12+434525.5,Seyfert_2,Seyfert 2 Galaxy
553,A07_091T04_9000003492, 13:08:19.12, +43:45:25.6,SDSS J130819.12+434525.5,Seyfert_2,Seyfert 2 Galaxy
554,A07_091T05_9000003584, 11:08:40.12, +34:05:52.23,SDSS J110840.11+340552.2,Galaxy,Galaxy
555,A07_091T07_9000003254, 07:48:20.67, +47:12:14.23,2MASS J07482067+4712138,Galaxy,Galaxy
556,A07_091T10_9000003520, 13:37:37.13, +20:23:51.7,2MASX J13373713+2023517,Galaxy,Galaxy
557,A07_091T10_9000003532, 13:37:37.13, +20:23:51.7,2MASX J13373713+2023517,Galaxy,Galaxy
558,A07_094T01_9000003248, 23:31:52.1789, +19:56:14.1505,BD+19  5116,**,Double or multiple star
559,A07_097T01_9000003692, 23:3:15.674, 8:52:25.280,[RLA2011] A,IR,Infra-Red source
560,A07_100T03_9000003242, 06:15:36.3, +71:02:15,[KGP93] Mrk 3 5,Radio,Radio-source
561,A07_101T02_9000003544, 16:53:52.22, +39:45:36.72,4C 39.49,BLLac,BL Lac - type object
562,A07_112T01_9000003360, 12:09:17.70, +29:55:39.00,SN 1941C,SN,SuperNova
563,A07_112T01_9000003478, 12:09:17.70, +29:55:39.00,SN 1941C,SN,SuperNova
564,A07_112T02_9000003480, 12:28:44.20, +43:13:27.00,,No identification within 1 arcsec,
565,A07_113T01_9000003526, 16:57:49.810, 35:20:32.399,V* HZ Her,LMXB,Low Mass X-ray Binary
566,A07_118T01_9000003232, 19:45:01, -14:48:55,,No identification within 1 arcsec,
567,A07_118T01_9000003586, 19:45:01, -14:48:55,,No identification within 1 arcsec,
568,A07_127T01_9000003468, 12:48:22.9, +08:29:15,NGC  4698,Seyfert_2,Seyfert 2 Galaxy
569,A07_127T02_9000003460, 00:36:04.0, +23:57:28,,No identification within 1 arcsec,
570,A07_127T03_9000003662, 22:46:03.7, -11:00:04,NGC  7371,Galaxy,Galaxy
571,A07_130T01_9000003246, 00:37:02.56, +39:58:20.5,,No identification within 1 arcsec,
572,A07_134T01_9000003256, 22:31:02.19, -20:47:52.77,,No identification within 1 arcsec,
573,A07_134T02_9000003282, 07:29:02.7, +13:14:48.4,PN A66   21,PN,Planetary Nebula
574,A07_134T02_9000003568, 07:29:02.7, +13:14:48.4,PN A66   21,PN,Planetary Nebula
575,A07_134T03_9000003670, 20:31:33.20, -07:05:18.0,PN A66   70,PN,Planetary Nebula
576,A07_135T01_9000003452, 10:49:40.496, +09:00:23.217,,No identification within 1 arcsec,
577,A07_135T02_9000003450, 16:22:55.530, +15:46:10.955,,No identification within 1 arcsec,
578,A07_138T01_9000003466, 11:02:33.35, +22:45:13.72,2MASX J11023336+2245133,LINER,LINER-type Active Galaxy Nucleus
579,A07_138T02_9000003464, 11:07:04.17, +45:49:19.62,UGC  6165,EmG,Emission-line galaxy
580,A07_138T03_9000003412, 12:09:23.63, +62:09:55.96,MCG+10-17-151,LINER,LINER-type Active Galaxy Nucleus
581,A07_138T04_9000003462, 13:27:04.36, +48:19:36.32,LEDA 2315068,LINER,LINER-type Active Galaxy Nucleus
582,A07_138T05_9000003410, 14:24:57.53, +24:15:17.82,2MASS J14245751+2415177,AGN,Active Galaxy Nucleus
583,A07_138T06_9000003456, 14:30:31.19, +52:42:25.84,2MASX J14303120+5242258,Seyfert_2,Seyfert 2 Galaxy
584,A07_138T08_9000003268, 16:12:24.61, +48:31:49.60,,No identification within 1 arcsec,
585,A07_138T09_9000003458, 16:47:54.90, +44:33:45.05,2MASX J16475488+4433454,EmG,Emission-line galaxy
586,A07_145T01_9000003594, 16:53:52.217, +39:45:36.609,4C 39.49,BLLac,BL Lac - type object
587,A07_147T01_9000003490, 12:43:57.60, +16:22:54.00,3C 275.1,QSO,Quasar
588,A07_147T01_9000003624, 12:43:57.60, +16:22:54.00,3C 275.1,QSO,Quasar
589,A07_148T02_9000003444, 13:34:40.770, -23:26:45.200,,No identification within 1 arcsec,
590,A07_148T02_9000003474, 13:34:40.770, -23:26:45.200,,No identification within 1 arcsec,
591,A07_148T05_9000003346, 11:36:29.100, 21:35:47.004,,No identification within 1 arcsec,
592,A07_148T05_9000003446, 11:36:29.100, 21:35:47.004,,No identification within 1 arcsec,
593,A07_149T01_9000003266, 03:18:16.0, -66:29:54.0,NGC  1313,Galaxy,Galaxy
594,A07_149T01_9000003304, 03:18:16.0, -66:29:54.0,NGC  1313,Galaxy,Galaxy
595,A07_149T01_9000003534, 03:18:16.0, -66:29:54.0,NGC  1313,Galaxy,Galaxy
596,A07_153T02_9000003250, 04:28:00.00, -47:54:45.90,NAME Carafe Nebula,LINER,LINER-type Active Galaxy Nucleus
597,A07_160T05_9000003580, 09:25:12.85, 52:17:10.4,Mrk  110,Seyfert_1,Seyfert 1 Galaxy
598,A07_160T07_9000003494, 12:18:26.52, 29:48:46.5,NGC  4253,Seyfert_1,Seyfert 1 Galaxy
599,A07_165T01_9000003558, 15:46:52.80, -78:12:51.10,,No identification within 1 arcsec,
600,A07_167T01_9000003264, 05:26:49.912, -66:05:42.99,,No identification within 1 arcsec,
601,A07_171T02_9000003686, 13:25:34.08, -54:14:43.129,V* DY Cen,Erupt*RCrB,Variable Star of R CrB type
602,A08_003T01_9000003342, 12:25:25.518, 16:28:12.020,NGC  4383,AGN,Active Galaxy Nucleus
603,A08_003T02_9000003630, 12:33:19.772, 12:51:12.770,IC 3492,GinCl,Galaxy in Cluster of Galaxies
604,A08_003T03_9000003632, 12:27:26.504, 11:6:27.582,NGC  4429,GinGroup,Galaxy in Group of Galaxies
605,A08_003T04_9000003634, 12:18:49.625, 14:24:59.360,M  99,HII_G,HII Galaxy
606,A08_003T05_9000003426, 12:22:54.932, 15:49:20.294,M 100,AGN,Active Galaxy Nucleus
607,A08_003T06_9000003636, 12:36:49.816, 13:9:46.330,M  90,Seyfert_2,Seyfert 2 Galaxy
608,A08_003T08_9000003638, 12:43:35.0, 13:7:34.860,,No identification within 1 arcsec,
609,A08_003T09_9000003644, 12:37:43.597, 11:49:5.120,M  58,Seyfert,Seyfert Galaxy
610,A08_003T13_9000003646, 12:26:11.814, 12:56:45.490,M  86,GinGroup,Galaxy in Group of Galaxies
611,A08_003T15_9000003648, 12:33:39.657, 9:10:29.540,NGC  4522,GinGroup,Galaxy in Group of Galaxies
612,A08_003T16_9000003650, 12:32:41.744, 14:3:5.810,IC 3476,GinGroup,Galaxy in Group of Galaxies
613,A08_003T16_9000003676, 12:32:41.744, 14:3:5.810,IC 3476,GinGroup,Galaxy in Group of Galaxies
614,A08_003T17_9000003656, 12:30:57.112, 11:29:0.713,NGC  4491,GinGroup,Galaxy in Group of Galaxies
615,A08_003T18_9000003658, 12:41:25.411, 13:43:45.890,NGC  4611,Galaxy,Galaxy
616,A08_004T02_9000003436, 04:39:49.64, -68:9:1.400,1ES 0439-68.2,CataclyV*,Cataclysmic Variable Star
617,A08_004T02_9000003496, 04:39:49.64, -68:9:1.400,1ES 0439-68.2,CataclyV*,Cataclysmic Variable Star
618,A08_004T03_9000003400, 00:19:49.92528, +21:56:52.166,V* QR And,EB*,Eclipsing binary
619,A08_004T03_9000003438, 00:19:49.92528, +21:56:52.166,V* QR And,EB*,Eclipsing binary
620,A08_008T01_9000003414, 5:39:38.829, -69:44:35.533,X LMC X-1,HMXB,High Mass X-ray Binary
621,A08_008T01_9000003596, 5:39:38.829, -69:44:35.533,X LMC X-1,HMXB,High Mass X-ray Binary
622,A08_008T02_9000003430, 5:38:56.299, -64:5:3.003,,No identification within 1 arcsec,
623,A08_009T01_9000003382, 12:36:51.00, +62:17:38.67,,No identification within 1 arcsec,
624,A08_009T01_9000003422, 12:36:51.00, +62:17:38.67,,No identification within 1 arcsec,
625,A08_009T01_9000003434, 12:36:51.00, +62:17:38.67,,No identification within 1 arcsec,
626,A08_009T01_9000003516, 12:36:51.00, +62:17:38.67,,No identification within 1 arcsec,
627,A09_006T01_9000003700, 14:4:25.925, -17:13:40.550,IC  972,PN,Planetary Nebula
628,A09_022T01_9000003702, 14:39:00.21, +64:17:29.98,V* EK Dra,BYDra,Variable of BY Dra type
629,A09_027T01_9000003694, 10:03:00.35, +68:49:26.63,,No identification within 1 arcsec,
630,A09_027T02_9000003696, 09:59:54.19, +68:38:16.87,,No identification within 1 arcsec,
631,A09_057T04_9000003712, 23:14:48.50, -43:35:59.8,NGC  7531,GinGroup,Galaxy in Group of Galaxies
632,A09_059T01_9000003706, 14:19:04, +52:52:12,,No identification within 1 arcsec,
633,A09_061T02_9000003708, 13:39:35.06, -67:22:51.76,PN MyCn   18,PN,Planetary Nebula
634,C02_002T01_9000000888, 3:55:21.990, 9:47:17.999,HZ  4,WD*,White Dwarf
635,C02_008T01_9000000884, 3:55:21.990, 9:47:17.999,HZ  4,WD*,White Dwarf
636,C02_010T01_9000000860, 0:13:1.010, 72:31:19.094,NGC    40,PN,Planetary Nebula
637,C02_016T01_9000000858, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
638,C02_016T01_9000000992, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
639,C02_028T01_9000001146, 12:13:56.250, 32:56:31.402,HZ 21,WD*,White Dwarf
640,C02_028T02_9000001428, 23:19:35.380, -17:5:28.500,EGGR 264,WD*,White Dwarf
641,C02_030T01_9000001168, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
642,C02_045T01_9000001342, 01:09:46, -71:20:30,,No identification within 1 arcsec,
643,C02_045T02_9000001492, 01:08:26, -71:20:30,,No identification within 1 arcsec,
644,C02_045T03_9000001558, 01:09:46, -71:26:30,,No identification within 1 arcsec,
645,C03_013T01_9000001586, 3:55:21.990, 9:47:17.999,HZ  4,WD*,White Dwarf
646,C03_014T01_9000001804, 01:09:46, -71:20:30,,No identification within 1 arcsec,
647,C03_014T02_9000001806, 01:08:26, -71:20:30,,No identification within 1 arcsec,
648,C03_014T03_9000001808, 01:09:46, -71:26:30,,No identification within 1 arcsec,
649,C03_015T01_9000001788, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
650,C03_015T02_9000002008, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
651,C03_015T03_9000002366, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
652,C03_015T04_9000002240, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
653,C03_015T04_9000002328, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
654,C03_015T04_9000002382, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
655,C03_016T01_9000001596, 15:49:28.92937, 47:06:17.6520,,No identification within 1 arcsec,
656,C04_009T01_9000002448, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
657,C04_009T02_9000002618, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
658,C04_009T03_9000002674, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
659,C04_009T03_9000002714, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
660,C04_009T04_9000002866, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
661,C04_009T05_9000002946, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
662,C04_009T05_9000002968, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
663,C04_009T06_9000002960, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
664,C04_010T01_9000003158, 03:55:21.990, 09:47:17.999,HZ  4,WD*,White Dwarf
665,C04_011T01_9000002664, 01:41:28.74, 83:34:58.9,GD 419,WD*,White Dwarf
666,C05_013T01_9000003350, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
667,C05_013T01_9000003398, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
668,C05_013T02_9000003364, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
669,C05_013T02_9000003502, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
670,C05_013T03_9000003376, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
671,C05_013T04_9000003660, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
672,G05_009T01_9000000482, 14:5:27.290, 28:32:3.998,NGC  5466,GlCl,Globular Cluster
673,G05_009T02_9000000618, 0:52:45.240, -26:34:57.400,NGC   288,GlCl,Globular Cluster
674,G05_045T01_9000000468, 11:15:44.563, 42:58:22.440,V* AR UMa,CataclyV*,Cataclysmic Variable Star
675,G05_083T01_9000000494, 12:06:17.0, 63:38:19.0,NVSS J120616+633818,RadioG,Radio Galaxy
676,G05_083T02_9000000498, 14:32:22.7, 56:51:08.4,Mrk  473,RadioG,Radio Galaxy
677,G05_083T03_9000000566, 14:53:23.4, 39:04:13.6,2MASX J14532341+3904136,Galaxy,Galaxy
678,G05_152T01_9000000676, 04:45:42.50, -59:14:50.00,[JBC2011] 15,X,X-ray source
679,G05_152T02_9000000658, 23:18:47.81, -42:19:43.68,,No identification within 1 arcsec,
680,G05_152T03_9000000488, 12:18:57.50, 47:18:14.40,[TH94] NGC  4258 10,Radio,Radio-source
681,G05_152T04_9000000480, 12:50:53.06, 41:07:13.80,[KCF2005] N4736 a,Radio,Radio-source
682,G05_172T01_9000000502, 9:00:10.79, -45:30:30.18,,No identification within 1 arcsec,
683,G05_173T01_9000000514, 08:59:12.703, -45:59:55,,No identification within 1 arcsec,
684,G05_178T01_9000000692, 07:29:02.7, +13:14:48.4,PN A66   21,PN,Planetary Nebula
685,G05_182T01_9000000484, 12:55:33.8, +25:53:30.6,PN LoTr    5,PN,Planetary Nebula
686,G05_187T01_9000000690, 22:29:38.5, -20:50:13.6,NGC  7293,PN,Planetary Nebula
687,G05_204T01_9000000688, 08:19:29.81, 70:42:18.2,,No identification within 1 arcsec,
688,G05_207T01_9000000596, 20:48:20.00, 29:56:47.00,,No identification within 1 arcsec,
689,G05_209T01_9000000458, 00:48:19.2, 85:13:26.1,,No identification within 1 arcsec,
690,G05_211T01_9000000464, 12:21:21.943, 30:10:37.161,QSO B1218+304,BLLac,BL Lac - type object
691,G05_212T01_9000000600, 05:38:56.21, -64:04:56.1,,No identification within 1 arcsec,
692,G05_212T01_9000000672, 05:38:56.21, -64:04:56.1,,No identification within 1 arcsec,
693,G05_215T01_9000000586, 20:45:41.00, 31:06:55.00,,No identification within 1 arcsec,
694,G05_218T01_9000001394, 22:32:36.408, 11:43:50.880,4C 11.69,QSO,Quasar
695,G05_218T04_9000000640, 2:38:38.930, 16:36:59.275,QSO B0235+1624,BLLac,BL Lac - type object
696,G05_218T05_9000000602, 16:53:52.217, 39:45:36.609,4C 39.49,BLLac,BL Lac - type object
697,G05_219T01_9000000540, 12:39:39.492, -5:20:39.160,NGC  4593,Seyfert_1,Seyfert 1 Galaxy
698,G05_222T01_9000000520, 0:1:58.162, -15:27:39.348,,No identification within 1 arcsec,
699,G05_230T02_9000000548, 1:41:0.380, -67:53:27.398,V* BL Hyi,CataclyV*,Cataclysmic Variable Star
700,G05_230T04_9000000550, 15:9:26.010, -66:49:23.300,2MASS J15092601-6649232,CataclyV*,Cataclysmic Variable Star
701,G05_230T05_9000000648, 5:43:20.170, -41:1:54.300,V* TX Col,CataclyV*,Cataclysmic Variable Star
702,G05_230T06_9000001350, 16:21:47.280, -22:53:10.298,V* AR Sco,EB*,Eclipsing binary
703,G05_233T10_9000000570, 14:03:43.64, 54:18:26.2,,No identification within 1 arcsec,
704,G05_234T02_9000000474, 11:32:39.6, 52:56:25.0,,No identification within 1 arcsec,
705,G05_235T01_9000000590, 00:54:53.5, -37:41:04,,No identification within 1 arcsec,
706,G05_238T01_9000001364, 23:3:15.674, 8:52:25.280,[RLA2011] A,IR,Infra-Red source
707,G05_239T02_9000000496, 11:00:52.0, +10:04:25.9,,No identification within 1 arcsec,
708,G05_240T01_9000000536, 03:32:12.56, -27:53:08.79,,No identification within 1 arcsec,
709,G05_240T01_9000000674, 03:32:12.56, -27:53:08.79,,No identification within 1 arcsec,
710,G05_240T02_9000000670, 03:33:05.46, -27:39:01.68,,No identification within 1 arcsec,
711,G05_243T01_9000000682, 19:15:11.550, 10:56:44.801,Granat 1915+105,HMXB,High Mass X-ray Binary
712,G05_246T02_9000000504, 13:35:54, -34:17:44,,No identification within 1 arcsec,
713,G05_246T02_9000001106, 13:35:54, -34:17:44,,No identification within 1 arcsec,
714,G05_246T03_9000000470, 14:17:06, 44:56:06,,No identification within 1 arcsec,
715,G05_246T03_9000000516, 14:17:06, 44:56:06,,No identification within 1 arcsec,
716,G05_246T03_9000000990, 14:17:06, 44:56:06,,No identification within 1 arcsec,
717,G05_246T04_9000000472, 12:03:09, 44:31:52,,No identification within 1 arcsec,
